year,title,authors,source_url
2013,Blanchot in The International Review,Christopher Fynsk,https://doi.org/10.5422/fordham/9780823251025.003.0009
2013,"A ‘Whispered Disfazione’: Maurice Blanchot, Leonardo da Vinci and <i>Three Dialogues with Georges Duthuit</i>",Adam Winstanley,https://doi.org/10.3366/jobs.2013.0069
2013,In Lieu of a Last Word:,,https://doi.org/10.2307/j.ctt13x07vw.9
2013,“He made her feel the beauty”,Paul Sopčák,https://doi.org/10.1075/ssol.3.2.04sop
2014,"Maurice Blanchot and Fragmentary Writing: A Change of Epoch
            <i>Maurice Blanchot and Fragmentary Writing: A Change of Epoch</i>
            . By L
            <scp>eslie</scp>
            H
            <scp>ill</scp>
            . London: Continuum, 2012. vi + 443 pp.",Eugene Brennan,https://doi.org/10.1093/fs/knt235
2014,Beckett’s Voices and the Paradox of Expression,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0009
2014,Copyright Page,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.002.0003
2014,PREFACE,,https://doi.org/10.2307/j.ctt13x07wd.4
2014,Embodied Violence and the Leap from the Law:,,https://doi.org/10.2307/j.ctt13x07wd.8
2014,The Imperative to Write,Jeff Fort,https://doi.org/10.1515/9780823254712
2014,"Company, But Not Enough",,https://doi.org/10.2307/j.ctt13x07wd.14
2014,The Dead Look:,,https://doi.org/10.2307/j.ctt13x07wd.12
2014,CONCLUSION:,,https://doi.org/10.2307/j.ctt13x07wd.15
2014,INDEX,,https://doi.org/10.2307/j.ctt13x07wd.18
2014,The Ecstasy of Judgment,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0003
2014,ABBREVIATIONS OF FREQUENTLY CITED WORKS,,https://doi.org/10.2307/j.ctt13x07wd.3
2014,Pointed Instants,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0006
2014,Speech Unredeemed,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0011
2014,Front Matter,,https://doi.org/10.2307/j.ctt13x07wd.1
2014,The Imperative to Write,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.001.0001
2014,Table of Contents,,https://doi.org/10.2307/j.ctt13x07wd.2
2014,INTRODUCTION:,,https://doi.org/10.2307/j.ctt13x07wd.5
2014,The Shell and the Mask,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0007
2014,Degradation of the Sublime:,,https://doi.org/10.2307/j.ctt13x07wd.9
2014,“Why Do You Write?”—The Fault of Writing,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0001
2014,Kafka’s Teeth,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0002
2014,Beckett’s Voices and the Paradox of Expression,,https://doi.org/10.2307/j.ctt13x07wd.13
2014,"Company , But Not Enough",Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0010
2014,Pointed Instants:,,https://doi.org/10.2307/j.ctt13x07wd.10
2014,NOTES,,https://doi.org/10.2307/j.ctt13x07wd.16
